Trait	Individuals	H2r	H2rpval	H2rSD	AGE	AGE	SEX	SEX	Kurtosis	uid	otu
iuid_253	271	0.304979	0.0229539	0.1559598	AGE	0.8485358	SEX	0.0044491	-0.2879	uid_253	k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Verrucomicrobiaceae_g__Akkermansia
iuid_181	271	0.3002143	0.0288641	0.1602267	AGE	0.2879089	SEX	0.0118244	-0.1777	uid_181	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia
iuid_74	271	0.294212	0.0236772	0.1533141	AGE	0.0777151	SEX	0.1941852	-0.114	uid_74	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Rikenellaceae
iuid_147	271	0.294212	0.0236772	0.1533141	AGE	0.0777151	SEX	0.1941852	-0.114	uid_147	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Rikenellaceae_Other
iuid_131	271	0.2919034	0.0408953	0.1681976	AGE	0.3166035	SEX	0.0513641	5.0407	uid_131	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Varibaculum
iuid_97	271	0.2884046	0.0296546	0.156386	AGE	0.7523198	SEX	0.0221064	-0.517	uid_97	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae
iuid_140	271	0.2878073	0.0352838	0.1610949	AGE	0.138327	SEX	0.1874714	-0.2383	uid_140	k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella
iuid_212	271	0.2813208	0.0417558	0.1641847	AGE	0.470695	SEX	0.0010483	0.7685	uid_212	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Tissierellaceae._g__Anaerococcus
iuid_2	271	0.2763329	0.0406705	0.1607529	AGE	0.0072739	SEX	0.1053196	-0.1142	uid_2	k__Bacteria_p__Actinobacteria
iuid_187	271	0.2750301	0.0488894	0.165997	AGE	0.0005535	SEX	0.0855151	0.6883	uid_187	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Pseudobutyrivibrio
iuid_47	271	0.274161	0.043497	0.1637604	AGE	0.3166397	SEX	0.4899737	-0.0735	uid_47	k__Bacteria_p__Firmicutes_c__Clostridia_o__SHA.98
iuid_105	271	0.274161	0.043497	0.1637604	AGE	0.3166397	SEX	0.4899737	-0.0735	uid_105	k__Bacteria_p__Firmicutes_c__Clostridia_o__SHA.98_Other
iuid_218	271	0.274161	0.043497	0.1637604	AGE	0.3166397	SEX	0.4899737	-0.0735	uid_218	k__Bacteria_p__Firmicutes_c__Clostridia_o__SHA.98_Other_Other
iuid_136	271	0.2664991	0.0408391	0.1566124	AGE	0.4105139	SEX	0.367506	4.2265	uid_136	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Scardovia
iuid_45	271	0.264039	0.0445272	0.1590503	AGE	0.1993634	SEX	0.0147016	-0.6108	uid_45	k__Bacteria_p__Firmicutes_c__Bacilli_o__Turicibacterales
iuid_91	271	0.264039	0.0445272	0.1590503	AGE	0.1993634	SEX	0.0147016	-0.6108	uid_91	k__Bacteria_p__Firmicutes_c__Bacilli_o__Turicibacterales_f__Turicibacteraceae
iuid_168	271	0.264039	0.0445272	0.1590503	AGE	0.1993634	SEX	0.0147016	-0.6108	uid_168	k__Bacteria_p__Firmicutes_c__Bacilli_o__Turicibacterales_f__Turicibacteraceae_g__Turicibacter
iuid_88	271	0.2616854	0.0278784	0.1432683	AGE	0.7529148	SEX	0.7792502	-0.6881	uid_88	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae
iuid_163	271	0.2616854	0.0278784	0.1432683	AGE	0.7529148	SEX	0.7792502	-0.6881	uid_163	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus
iuid_197	271	0.2606984	0.0471518	0.159324	AGE	0.29114	SEX	0.7363776	-0.1961	uid_197	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Faecalibacterium
iuid_190	271	0.2554409	0.0378394	0.1481936	AGE	0.0140094	SEX	0.6152111	0.0739	uid_190	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae_Other
iuid_192	271	0.255118	0.0459491	0.1551323	AGE	0.1075862	SEX	0.2982751	-0.4033	uid_192	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae_g__rc4.4
iuid_244	271	0.2534595	0.0528251	0.15784	AGE	0.0996052	SEX	0.9968085	0.7902	uid_244	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Aggregatibacter
iuid_96	271	0.2531837	0.0415773	0.1506726	AGE	0.1632628	SEX	0.764317	2.9214	uid_96	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__EtOH8
iuid_176	271	0.2531837	0.0415773	0.1506726	AGE	0.1632628	SEX	0.764317	2.9214	uid_176	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__EtOH8_Other
iuid_236	271	0.2506836	0.0671019	0.1677	AGE	0.2235234	SEX	0.6842544	24.3944	uid_236	k__Bacteria_p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales_f__Desulfovibrionaceae_Other
iuid_202	271	0.2497608	0.0649669	0.1669851	AGE	0.0909356	SEX	0.2133091	-0.2524	uid_202	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Dialister
iuid_215	271	0.2486214	0.0672288	0.1677953	AGE	0.088724	SEX	0.0086449	-0.494	uid_215	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Tissierellaceae._g__Peptoniphilus
iuid_15	271	0.2448169	0.070066	0.1670841	AGE	0.3698561	SEX	0.8505726	-0.1961	uid_15	k__Bacteria_p__Actinobacteria_c__Coriobacteriia
iuid_37	271	0.2448169	0.070066	0.1670841	AGE	0.3698561	SEX	0.8505726	-0.1961	uid_37	k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales
iuid_70	271	0.2448169	0.070066	0.1670841	AGE	0.3698561	SEX	0.8505726	-0.1961	uid_70	k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae
iuid_213	271	0.2395475	0.0802253	0.1705245	AGE	0.760063	SEX	0.5405021	1.9321	uid_213	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Tissierellaceae._g__Finegoldia
iuid_58	271	0.2333415	0.0606787	0.1535299	AGE	0.2214819	SEX	0.5403508	-0.5827	uid_58	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales
iuid_119	271	0.2333415	0.0606787	0.1535299	AGE	0.2214819	SEX	0.5403508	-0.5827	uid_119	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae
iuid_174	271	0.2301652	0.0689807	0.1582855	AGE	0.0505879	SEX	0.1693689	-0.5833	uid_174	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__SMB53
iuid_135	271	0.2290746	0.0717202	0.1587366	AGE	0.0007368	SEX	0.0210559	0.2657	uid_135	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium
iuid_36	271	0.2289204	0.0718422	0.1587274	AGE	0.0007317	SEX	0.0218117	0.267	uid_36	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales
iuid_69	271	0.2289204	0.0718422	0.1587274	AGE	0.0007317	SEX	0.0218117	0.267	uid_69	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae
iuid_84	271	0.2229637	0.074648	0.1579832	AGE	0.2975243	SEX	0.8588024	4.2265	uid_84	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_Other
iuid_158	271	0.2229637	0.074648	0.1579832	AGE	0.2975243	SEX	0.8588024	4.2265	uid_158	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_Other_Other
iuid_20	271	0.2203931	0.0911778	0.1674915	AGE	0.1910918	SEX	0.5487707	-0.1961	uid_20	k__Bacteria_p__Firmicutes_c__Clostridia
iuid_46	271	0.2198727	0.0917343	0.167516	AGE	0.1915625	SEX	0.5469785	-0.1961	uid_46	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales
iuid_14	271	0.2190283	0.0805664	0.1586251	AGE	0.0006752	SEX	0.0308339	0.2957	uid_14	k__Bacteria_p__Actinobacteria_c__Actinobacteria
iuid_178	271	0.2185782	0.0653645	0.1487221	AGE	0.8465274	SEX	0.4232412	8.2581	uid_178	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae_g__Pseudoramibacter_Eubacterium
iuid_99	271	0.2158027	0.0744056	0.1520587	AGE	0.0101118	SEX	0.6398549	-0.7937	uid_99	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae
iuid_68	271	0.2100536	0.0686622	0.1465894	AGE	0.5807784	SEX	0.0037658	-0.191	uid_68	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae
iuid_133	271	0.2100536	0.0686622	0.1465894	AGE	0.5807784	SEX	0.0037658	-0.191	uid_133	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Rothia
iuid_173	271	0.2045706	0.1159902	0.1715465	AGE	0.47136	SEX	0.564022	-0.1961	uid_173	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Clostridium
