gid_16s,G63245,G63278,G63282,G63283,G63284,G63291,G63298,G63323,G63328,G63341,G63347,G63353,G63355,G63361,G63378,G63384,G63394,G64452,G64561,G64562,G64565,G64567,G64570,G64602,G64608,G64613,G64619,G64621,G64623,G64642,G64644,G64645,G64648,G64650,G64662,G64695,G64698,G64709,G64715,G64718,G64755,G64764,G64788,G64794,G64801,G64803,G64805,G64830,G64838,G64843,G64877,G64881,G64886,G64927,G64942,G64948,G64999,G65360,G65372,G65409,G65471,G65513,G65518,G65862,G65872,G65908,G66033,G66037,G66064,G66079,G66083,G66086,G66087,G66101,G66106,G66128,G66130,G66131,G66139,G66224,G66244,G66274,G66297,G66390,G66466,G66736,G66783,G66868,G67075,G67092,G67097,G67104,G67123,G67124,G67129,G67140,G67144,G72793,G72804,G72820,G72823,G72844,G72853,G72873,G72880,G72882,G72885,G73574,G73579,G73588,G73597,G73602,G73632,G73634,G73650,G73655,G73658,G73701,G73713,G73723,G73732,G73742,G73786,G73789,G73790,G73793,G73809,G73826,G73859,G73890,G73896,G73931,G74004,G74041,G74047,G74079,G74092,G74095,G74102,G75551,G75614,G75710,G75715,G75718,G75725,G75745,G75747,G75750,G75756,G75798,G75807,G75810,G75811,G75817,G75821,G75825,G75842,G75846,G75872,G75874,G75882,G76375,G76389,G76392,G76393,G76394,G76397,G76401,G76403,G76405,G76411,G76416,G76423,G76426,G76430,G76431,G76434,G76437,G76438,G76439,G76452,G76453,G76457,G76460,G76463,G76464,G76465,G76466,G76469,G76470,G76471,G76472,G76474,G76479,G76486,G76487,G76489,G76492,G76494
D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiales.vadinBB60.group.D_5__gut.metagenome,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.011881188,0.001980198,0.281188119,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.031683168,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.289108911,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198,0.001980198
D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiales.vadinBB60.group.D_5__uncultured.Thermoanaerobacterales.bacterium,0.003846154,0.184615385,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.026923077,0.003846154,0.034615385,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154
D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiales.vadinBB60.group.D_5__uncultured.bacterium,0.001398601,0.457342657,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.06013986,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.195804196,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.013986014,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601,0.001398601
D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiales.vadinBB60.group.D_5__uncultured.organism,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.057522124,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.03539823,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.017699115,0.004424779,0.004424779,0.004424779,0.004424779,0.026548673,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779,0.004424779
D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Defluviitaleaceae.D_5__Defluviitaleaceae.UCG.011,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.028571429,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.033333333,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905
D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Eubacteriaceae.D_5__Anaerofustis,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.183520599,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.048689139,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.033707865,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318,0.003745318
D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Eubacteriaceae.D_5__Eubacterium,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.097222222,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.025,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.261111111,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.027777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.016666667,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.002777778,0.036111111,0.002777778,0.002777778,0.002777778
D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Eubacteriaceae.D_5__Garciella,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.506234414,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766,0.002493766
D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Eubacteriaceae.D_5__Pseudoramibacter,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.12,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444,0.004444444
D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Family.XI.D_5__Anaerococcus,0.001269036,0.060913706,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.005076142,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.131979695,0.001269036,0.001269036,0.001269036,0.063451777,0.001269036,0.001269036,0.125634518,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.01142132,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.112944162,0.001269036,0.001269036,0.001269036,0.224619289,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.007614213,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.006345178,0.001269036,0.001269036,0.001269036,0.01142132,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036,0.001269036
